candidate_id,company_name,company_domain,ground_truth_stage,ground_truth_announced_on,ground_truth_amount,ground_truth_currency,ground_truth_total_raised,official_source_url,official_source_kind,official_source_publisher,official_published_at,evidence_confidence,evidence_quote,review_status
fiber-ww_a8396e20a96a1f6b3c96cc84a2642fee,8090 Solutions,8090.ai,series_a,2026-06-29,135000000,USD,,https://8090.ai/news/why-we-raised-our-series-a,company_newsroom,8090,2026-06-29,high,,research_confirmed_pending_human_validation
fiber-ww_f4cf6a6d4c99edfad35c7884d1029c5f,Airwallex-l,airwallex.com,Series H,2026-06-25,320000000,USD,,https://www.businesswire.com,company_issued_wire,Business Wire,2026-06-25,high,,research_confirmed_pending_human_validation
ww_48e7333c82b29607d2c6f40657ccfb93,Alchemab Therapeutics,alchemab.com,Series A,2026-07-09,25000000,GBP,,https://alchemab.com/news/alchemab-therapeutics-announce-biggest-ever-life-sciences-investment-from-british-business-bank/,company_newsroom,Alchemab Therapeutics,2026-07-09,high,,official_source_confirmed_pending_human_validation
fiber-ww_494ab2e40d89da225042193de92d7982,AllScale,allscale.io,seed,2026-06-25,,,,https://allscale.io/,company_newsroom,AllScale,2026-06-25,high,,research_confirmed_pending_human_validation
ww_6ea93095a3e2623f1501854982016f80,Alta,altahq.com,Series A,2026-07-08,25000000,USD,,https://www.prnewswire.com/news-releases/alta-raises-25m-to-redefine-the-go-to-market-architecture-for-revenue-teams,company_issued_wire,PR Newswire,2026-07-08,high,,official_source_confirmed_pending_human_validation
fiber-ww_84825ba4b542d4c0901d357847443abc,Altilium Clean Technology,altilium.tech,equity_crowdfunding,2026-06-22,1000000,USD,,https://altilium.tech,company_newsroom,Altilium Clean Technology,2026-06-22,high,,research_confirmed_pending_human_validation
fiber-ww_257603f70d936402abd371e1fe38b9f2,American Rebel Beverage,americanrebelbeer.com,equity_crowdfunding,2026-06-27,147863.67,USD,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002134397,regulatory_filing,SEC,2026-06-30,high,,research_confirmed_pending_human_validation
fiber-ww_6b13ead975b375c79e57c719d9c9d107,AquaVerse,aquaversegroup.com,private_equity,2026-07-01,,,,https://www.prnewswire.com/news-releases/balance-point-capital-advisors-announces-investment-in-aquaverse-302187654.html,company_issued_wire,PR Newswire,2026-07-01,high,,research_confirmed_pending_human_validation
fiber-ww_8baf360d8a4d69c53d59d8604b0f8af0,Bubble Down Car Wash,bubbledown.com,private_equity,2026-06-29,200000000,USD,,https://www.businesswire.com/,company_issued_wire,Business Wire,2026-06-29,high,,research_confirmed_pending_human_validation
fiber-ww_571c0ba47c285cac1d8f76bc66162a3f,LEXISNEXIS DRAGONS Official Page,cardiffdragons.com,,2026-06-18,,,,https://walesnetball.com/wales-netball-secures-major-new-investment-in-the-dragons-as-ymladd-2030-gathers-pace/,company_newsroom,Wales Netball,2026-06-18,high,,research_confirmed_pending_human_validation
fiber-ww_436fa68c47a300d9772817a4b19cd318,Cardinal Action Cams,cardinalactioncams.com,seed,2026-06-26,7500,USD,,http://archive.fast-edgar.com/20260626/AW22922MZ222L222222N22O2MUAHGD223282,regulatory_filing,Securities and Exchange Commission,2026-06-26,high,,research_confirmed_pending_human_validation
fiber-ww_d9c2b231e2a3b353c5c70b5df98b22f1,Comand AI,comand.ai,Series A,2026-06-17,32000000,EUR,,https://comand.ai/newsroom,company_newsroom,Comand AI,2026-06-17,high,,research_confirmed_pending_human_validation
fiber-ww_e61a26e3c6ca246550edf693145e41da,Cosm,cosm.com,Series C,2026-06-24,100000000,USD,,https://www.cosm.com/news/sony-pictures-entertainment-announces-100m-strategic-investment-in-cosm-to-accelerate-the-next-era-of-immersive-entertainment,company_newsroom,Cosm,2026-06-24,high,,research_confirmed_pending_human_validation
fiber-ww_192a84c3254cdc509e0db244c5297abb,COUR Pharma,courpharma.com,series_b,2026-06-18,50000000,USD,,https://courpharma.com/news/,company_newsroom,COUR Pharma,2026-06-18,high,,research_confirmed_pending_human_validation
