candidate_id,company_name,company_domain,company_website,linkedin_url,recency_bucket,stage_bucket,ground_truth_stage,ground_truth_announced_on,ground_truth_amount,ground_truth_currency,ground_truth_total_raised,official_source_url,official_source_kind,official_source_publisher,official_published_at,evidence_confidence,evidence_quote,review_status
transition_01cdcdd0554ed3d2b753ea4f8704890a,Tanis Brush,tanisbrush.com,tanisbrush.com,https://www.linkedin.com/company/tanis,31_90_days,later_stage,Private Equity,2026-05-20,,,,https://www.businesswire.com,company_issued_wire,Business Wire,2026-05-20,high,"GreyLion Partners LP (“GreyLion”), a leading U.S. private equity firm focused on high-growth businesses, today announced a new partnership and strategic investment in Tanis Brush... Terms of the transaction were not disclosed.",research_confirmed_pending_human_validation
transition_01f45da4cb09cb592f7954af86e4942a,Rad AI,radai.com,radai.com,https://www.linkedin.com/company/radai,3_24_months,later_stage,series_c,2025-05-20,8000000,USD,,https://www.radai.com/press-releases/rad-ai-announces-strategic-investments-from-four-leading-health-systems-to-advance-enterprise-ai-in-healthcare,company_newsroom,Rad AI,2025-05-20,high,Rad AI today announced an additional $8 million strategic investment to its latest funding round... The additional investment brings Rad AI's total Series C funding to $68 million.,research_confirmed_pending_human_validation
transition_0314c7ae2c9e16ea1ba3a21c585ece5b,Unleash,getunleash.io,getunleash.io,https://www.linkedin.com/company/getunleash,3_24_months,series_b,series_b,2026-03-04,35000000,USD,51500000,https://www.businesswire.com/,company_issued_wire,Business Wire,2026-03-04,high,"Unleash, the open-source FeatureOps company, today announced a $35 million Series B financing led by One Peak... The Series B brings Unleash's total funding to $51.5M.",research_confirmed_pending_human_validation
transition_03fa40d2e7f4404e606ad5eb0547f03f,KUANTOM,kuantom.com,kuantom.com,https://www.linkedin.com/company/kuantom,3_24_months,series_a,Series A,2025-01-13,5000000,EUR,,https://socadif.fr,investor_announcement,SOCADIF,2025-01-13,high,"KUANTOM, créateur d'une solution innovante de cocktails pour les professionnels, annonce une levée de fonds de 5 millions d'euros, combinant capital et dette, permet d'accueillir Seb Alliance... et SOCADIF... à son capital.",research_confirmed_pending_human_validation
transition_051588c9aee61dcf25b93b6cc6e58387,Ramp,ramp.com,ramp.com,https://www.linkedin.com/company/ramp,31_90_days,later_stage,series_f,2026-06-04,750000000,USD,,https://www.prnewswire.com/,company_issued_wire,PR Newswire,2026-06-04,high,"Today, Ramp announced a $750 million primary financing round led by ICONIQ, GIC, and Ontario Teachers' Pension Plan, valuing the company at $44 billion.",research_confirmed_pending_human_validation
transition_0719213bf0d5194ab1bcfd827893a867,Sky Harvest,skyharvest.com,skyharvestcarbon.com,https://www.linkedin.com/company/skyharvest,3_24_months,early,seed,2024-09-16,,,,https://www.praxis.co/journal,investor_announcement,Praxis,2024-09-16,medium,"Many thanks to the Accelerator Capital Partners... who are providing $100K in opt-in investment to these ventures... Sky Harvest. Fellow: Will Clayton, CEO",research_confirmed_pending_human_validation
transition_07774d1575311998b7a01e4dd034ac53,SQK | Quantum Medical Imaging,sqkcloud.com,sqkcloud.com,https://www.linkedin.com/company/sqkinc,3_24_months,early,,2026-02-18,,,,https://www.ibm.com,investor_announcement,IBM Ventures,2026-02-18,medium,"We're proud to announce our latest investments in SQK and QodeX Quantum, two early-stage startups in the Duality quantum startup accelerator program that have been chosen for phase two...",research_confirmed_pending_human_validation
transition_08bc5d7c6a990daada7968c1814b3c55,TECLens,teclens.com,teclens.com,https://www.linkedin.com/company/teclens,3_24_months,series_a,Series A,2025-02-11,9300000,USD,,https://www.teclens.com,company_newsroom,TECLens,2025-02-11,high,"TECLens, Inc., a clinical-stage ophthalmic medical device company, announced today it raised $9.3 million in a Series A round co-led by Johnson & Johnson Innovation – JJDC Inc. and Yonjin Capital.",research_confirmed_pending_human_validation
transition_09db48e642c8bc7fe984171573524352,Kohort,kohort.io,kohort.io,https://www.linkedin.com/company/kohort-io,31_90_days,series_a,series_a,2026-05-07,7000000,USD,,https://www.businesswire.com/news/home/20260507685420/en/,company_issued_wire,Business Wire,2026-05-07,high,Kohort today announced the completion of its $7 million Series A fundraising round to build user acquisition (UA) agents for mobile game studios.,research_confirmed_pending_human_validation
transition_0aa28947d58c0748256aef638607432b,Oxford Online Pharmacy,oxfordonlinepharmacy.co.uk,oxfordonlinepharmacy.co.uk,https://www.linkedin.com/company/oxford-online-pharmacy,3_24_months,later_stage,private_equity,2024-08-19,,,,https://www.rockpoolinvestments.co.uk/news/rockpool-investments-partners-with-oxford-online-pharmacy/,investor_announcement,Rockpool Investments,2024-08-19,high,"Rockpool Investments is pleased to announce a strategic investment in Oxford Online Pharmacy, a fast-growing online pharmacy offering accessible healthcare to patients' homes.",research_confirmed_pending_human_validation
transition_0ac7a19896289fc553f619f04dcd3e89,Neion Bio,neion.bio,neion.bio,https://www.linkedin.com/company/neion-bio-inc,31_90_days,series_a,series_a,2026-06-11,23000000,USD,,https://www.globenewswire.com/,company_issued_wire,GlobeNewswire,2026-06-11,high,"Neion Bio, a biotechnology company revolutionizing the production of biologic medicines, today announced the close of an oversubscribed $23 million Series A financing to further advance its novel manufacturing platform",research_confirmed_pending_human_validation
